district,lat,lon
Ariyalur,11.14,79.08
Chennai,13.08,80.27
Coimbatore,11.01,76.96
Cuddalore,11.75,79.75
Dharmapuri,12.12,78.15
Dindigul,10.35,77.95
Erode,11.34,77.72
Kanchipuram,12.83,79.70
Kanniyakumari,8.08,77.55
Karur,10.96,78.08
Krishnagiri,12.52,78.21
Madurai,9.93,78.12
Nagapattinam,10.77,79.84
Namakkal,11.22,78.16
Perambalur,11.23,78.88
Pudukkottai,10.38,78.82
Ramanathapuram,9.37,78.83
Salem,11.65,78.15
Sivaganga,9.85,78.48
Thanjavur,10.79,79.13
The Nilgiris,11.41,76.70
Theni,9.99,77.47
Thiruvallur,13.12,79.92
Thiruvarur,10.77,79.64
Thoothukudi,8.76,78.13
Tiruchirappalli,10.79,78.70
Tirunelveli,8.71,77.76
Tiruppur,11.10,77.35
Tiruvannamalai,12.23,79.07
Vellore,12.91,79.13
Villupuram,11.94,79.49
Virudhunagar,9.58,77.96
