district,mpi
Ariyalur,0.034
Chennai,0.004
Coimbatore,0.009
Cuddalore,0.025
Dharmapuri,0.021
Dindigul,0.016
Erode,0.012
Kanchipuram,0.012
Kanniyakumari,0.005
Karur,0.018
Krishnagiri,0.021
Madurai,0.024
Nagapattinam,0.033
Namakkal,0.011
Perambalur,0.030
Pudukkottai,0.046
Ramanathapuram,0.030
Salem,0.029
Sivaganga,0.033
Thanjavur,0.028
The Nilgiris,0.008
Theni,0.019
Thiruvallur,0.010
Thiruvarur,0.027
Thoothukudi,0.033
Tiruchirappalli,0.014
Tirunelveli,0.022
Tiruppur,0.012
Tiruvannamalai,0.024
Vellore,0.014
Villupuram,0.038
Virudhunagar,0.036
